Type,Start,End,Name,Calendar,Location,Description,"Hebrew Date",Owner,Contact,Status,"Admin Note","Event ID","Additional Occurrence of Event ID","Resource Of","Resource Quantity","Resource Of Event ID","Resource Of Schedule ID"
Zmanim,"2025-07-13 17:20:47",,"Mincha Ketana",,,,"17 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-13 18:53:38",,"Plag HaMincha",,,,"17 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-13 20:26:30",,"Shkiah (Sunset)",,,,"17 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-13 21:15:32",,"Tzais Hakochavim",,,,"17 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-14 06:35:00",,Shacharis,,,,"18 Tammuz 5785",,,confirmed,,91904,,,,,
"Schedule Rule","2025-07-14 09:18:22",,"Zman Krias Shma",,,,"18 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-14 20:25:00",,Shkia,,,,"18 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-14,,"18 Tammuz 5785",,,,"18 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-14 05:35:51",,Sunrise,,,,"18 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-14 20:25:58",,Sunset,,,,"18 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-14 03:51:20",,"Alos Hashachar",,,,"18 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-14 04:35:15",,"Earliest Tallis",,,,"18 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-14 05:35:51",,"Netz (Sunrise)",,,,"18 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-14 09:18:00",,"Latest Shema",,,,"18 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-14 10:32:33",,"Zman Tefillah",,,,"18 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-14 13:00:54",,"Chatzos (Midday)",,,,"18 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-14 13:37:59",,"Mincha Gedola",,,,"18 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-14 17:20:31",,"Mincha Ketana",,,,"18 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-14 18:53:14",,"Plag HaMincha",,,,"18 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-14 20:25:58",,"Shkiah (Sunset)",,,,"18 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-14 21:14:52",,"Tzais Hakochavim",,,,"18 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-15 06:45:00",,Shacharis,,,,"19 Tammuz 5785",,,confirmed,,64852,,,,,
"Schedule Rule","2025-07-15 09:18:48",,"Zman Krias Shma",,,,"19 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-15 20:25:00",,Shkia,,,,"19 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-15,,"19 Tammuz 5785",,,,"19 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-15 05:36:37",,Sunrise,,,,"19 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-15 20:25:24",,Sunset,,,,"19 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-15 03:52:29",,"Alos Hashachar",,,,"19 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-15 04:36:12",,"Earliest Tallis",,,,"19 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-15 05:36:37",,"Netz (Sunrise)",,,,"19 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-15 09:18:00",,"Latest Shema",,,,"19 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-15 10:32:52",,"Zman Tefillah",,,,"19 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-15 13:01:00",,"Chatzos (Midday)",,,,"19 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-15 13:38:02",,"Mincha Gedola",,,,"19 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-15 17:20:14",,"Mincha Ketana",,,,"19 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-15 18:52:49",,"Plag HaMincha",,,,"19 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-15 20:25:24",,"Shkiah (Sunset)",,,,"19 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-15 21:14:09",,"Tzais Hakochavim",,,,"19 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-16 06:45:00",,Shacharis,,,,"20 Tammuz 5785",,,confirmed,,64852,,,,,
"Schedule Rule","2025-07-16 09:19:14",,"Zman Krias Shma",,,,"20 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-16 20:24:00",,Shkia,,,,"20 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-16,,"20 Tammuz 5785",,,,"20 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-16 05:37:24",,Sunrise,,,,"20 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-16 20:24:47",,Sunset,,,,"20 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-16 03:53:40",,"Alos Hashachar",,,,"20 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-16 04:37:10",,"Earliest Tallis",,,,"20 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-16 05:37:24",,"Netz (Sunrise)",,,,"20 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-16 09:19:00",,"Latest Shema",,,,"20 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-16 10:33:11",,"Zman Tefillah",,,,"20 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-16 13:01:05",,"Chatzos (Midday)",,,,"20 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-16 13:38:03",,"Mincha Gedola",,,,"20 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-16 17:19:54",,"Mincha Ketana",,,,"20 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-16 18:52:20",,"Plag HaMincha",,,,"20 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-16 20:24:47",,"Shkiah (Sunset)",,,,"20 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-16 21:13:25",,"Tzais Hakochavim",,,,"20 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-17 06:35:00",,Shacharis,,,,"21 Tammuz 5785",,,confirmed,,91904,,,,,
"Schedule Rule","2025-07-17 09:19:41",,"Zman Krias Shma",,,,"21 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-17 20:24:00",,Shkia,,,,"21 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-17,,"21 Tammuz 5785",,,,"21 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-17 05:38:12",,Sunrise,,,,"21 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-17 20:24:09",,Sunset,,,,"21 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-17 03:54:52",,"Alos Hashachar",,,,"21 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-17 04:38:09",,"Earliest Tallis",,,,"21 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-17 05:38:12",,"Netz (Sunrise)",,,,"21 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-17 09:19:00",,"Latest Shema",,,,"21 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-17 10:33:31",,"Zman Tefillah",,,,"21 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-17 13:01:10",,"Chatzos (Midday)",,,,"21 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-17 13:38:05",,"Mincha Gedola",,,,"21 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-17 17:19:34",,"Mincha Ketana",,,,"21 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-17 18:51:51",,"Plag HaMincha",,,,"21 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-17 20:24:09",,"Shkiah (Sunset)",,,,"21 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-17 21:12:38",,"Tzais Hakochavim",,,,"21 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-18 06:45:00",,Shacharis,,,,"22 Tammuz 5785",,,confirmed,,64851,,,,,
"Schedule Rule","2025-07-18 09:20:08",,"Zman Krias Shma",,,,"22 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-18 18:52:00",,"Plag Mincha",,,,"22 Tammuz 5785",,,confirmed,,126932,,,,,
"Schedule Rule","2025-07-18 20:05:00",,Mincha,,,,"22 Tammuz 5785",,,confirmed,,107910,,,,,
"Schedule Rule","2025-07-18 20:05:00",,"Candle Lighting",,,,"22 Tammuz 5785",,,confirmed,,,,,,,
"Schedule Rule","2025-07-18 20:23:00",,Shkia,,,,"22 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-18,,"22 Tammuz 5785",,,,"22 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-18 05:39:01",,Sunrise,,,,"22 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-18 20:23:29",,Sunset,,,,"22 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-18 03:56:05",,"Alos Hashachar",,,,"22 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-18 04:39:09",,"Earliest Tallis",,,,"22 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-18 05:39:01",,"Netz (Sunrise)",,,,"22 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-18 09:20:00",,"Latest Shema",,,,"22 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-18 10:33:50",,"Zman Tefillah",,,,"22 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-18 13:01:15",,"Chatzos (Midday)",,,,"22 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-18 13:38:06",,"Mincha Gedola",,,,"22 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-18 17:19:13",,"Mincha Ketana",,,,"22 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-18 18:51:21",,"Plag HaMincha",,,,"22 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-18 20:23:29",,"Shkiah (Sunset)",,,,"22 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-18 21:11:49",,"Tzais Hakochavim",,,,"22 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-19 08:45:00",,"Youth Groups",Youth,,,"23 Tammuz 5785",,,confirmed,,118947,,,,,
"Schedule Rule","2025-07-19 08:45:00",,Shacharis,,,,"23 Tammuz 5785",,,confirmed,,114844,,,,,
"Schedule Rule","2025-07-19 09:20:35",,"Zman Krias Shma",,,,"23 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-19 10:15:00",,"Mommy and Me",Youth,,,"23 Tammuz 5785",,,confirmed,,118948,,,,,
"Schedule Rule","2025-07-19 19:25:00",,Mincha,,,,"23 Tammuz 5785",,,confirmed,,114102,,,,,
"Schedule Rule","2025-07-19 20:22:00",,Shkia,,,,"23 Tammuz 5785",,,confirmed,,121564,,,,,
"Schedule Rule","2025-07-19 20:40:00",,"Eretz Yisrael Seder",,,,"23 Tammuz 5785",,,confirmed,,126930,,,,,
"Schedule Rule","2025-07-19 21:11:00",,Maariv,,,,"23 Tammuz 5785",,,confirmed,,114104,,,,,
"Schedule Rule","2025-07-19 21:12:00",,Havdalah,,,,"23 Tammuz 5785",,,confirmed,,,,,,,
"Jewish Holiday",2025-07-19,,"Shabbos Mevarchim",,,,"23 Tammuz 5785",,,,,,,,,,
Parsha,2025-07-19,,"Parshas Pinchas",,,,"23 Tammuz 5785",,,,,,,,,,
"Hebrew Date",2025-07-19,,"23 Tammuz 5785",,,,"23 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-19 05:39:51",,Sunrise,,,,"23 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-19 20:22:47",,Sunset,,,,"23 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-19 03:57:19",,"Alos Hashachar",,,,"23 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-19 04:40:10",,"Earliest Tallis",,,,"23 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-19 05:39:51",,"Netz (Sunrise)",,,,"23 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-19 09:20:00",,"Latest Shema",,,,"23 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-19 10:34:09",,"Zman Tefillah",,,,"23 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-19 13:01:19",,"Chatzos (Midday)",,,,"23 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-19 13:38:06",,"Mincha Gedola",,,,"23 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-19 17:18:50",,"Mincha Ketana",,,,"23 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-19 18:50:48",,"Plag HaMincha",,,,"23 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-19 20:22:47",,"Shkiah (Sunset)",,,,"23 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-19 21:10:58",,"Tzais Hakochavim",,,,"23 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-20 08:00:00",,Shacharis,,,,"24 Tammuz 5785",,,confirmed,,114843,,,,,
"Schedule Rule","2025-07-20 09:21:01",,"Zman Krias Shma",,,,"24 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-20 20:08:03",,Mincha/Maariv,,,,"24 Tammuz 5785",,,confirmed,,77113,,,,,
"Schedule Rule","2025-07-20 20:22:00",,Shkia,,,,"24 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-20,,"24 Tammuz 5785",,,,"24 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-20 05:40:41",,Sunrise,,,,"24 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-20 20:22:03",,Sunset,,,,"24 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-20 03:58:35",,"Alos Hashachar",,,,"24 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-20 04:41:12",,"Earliest Tallis",,,,"24 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-20 05:40:41",,"Netz (Sunrise)",,,,"24 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-20 09:21:00",,"Latest Shema",,,,"24 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-20 10:34:28",,"Zman Tefillah",,,,"24 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-20 13:01:22",,"Chatzos (Midday)",,,,"24 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-20 13:38:05",,"Mincha Gedola",,,,"24 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-20 17:18:25",,"Mincha Ketana",,,,"24 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-20 18:50:14",,"Plag HaMincha",,,,"24 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-20 20:22:03",,"Shkiah (Sunset)",,,,"24 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-20 21:10:05",,"Tzais Hakochavim",,,,"24 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-21 06:35:00",,Shacharis,,,,"25 Tammuz 5785",,,confirmed,,91904,,,,,
"Schedule Rule","2025-07-21 09:21:29",,"Zman Krias Shma",,,,"25 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-21 20:21:00",,Shkia,,,,"25 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-21,,"25 Tammuz 5785",,,,"25 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-21 05:41:33",,Sunrise,,,,"25 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-21 20:21:17",,Sunset,,,,"25 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-21 03:59:52",,"Alos Hashachar",,,,"25 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-21 04:42:15",,"Earliest Tallis",,,,"25 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-21 05:41:33",,"Netz (Sunrise)",,,,"25 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-21 09:21:00",,"Latest Shema",,,,"25 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-21 10:34:47",,"Zman Tefillah",,,,"25 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-21 13:01:25",,"Chatzos (Midday)",,,,"25 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-21 13:38:04",,"Mincha Gedola",,,,"25 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-21 17:18:00",,"Mincha Ketana",,,,"25 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-21 18:49:38",,"Plag HaMincha",,,,"25 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-21 20:21:17",,"Shkiah (Sunset)",,,,"25 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-21 21:09:11",,"Tzais Hakochavim",,,,"25 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-22 06:45:00",,Shacharis,,,,"26 Tammuz 5785",,,confirmed,,64852,,,,,
"Schedule Rule","2025-07-22 09:21:56",,"Zman Krias Shma",,,,"26 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-22 20:20:00",,Shkia,,,,"26 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-22,,"26 Tammuz 5785",,,,"26 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-22 05:42:25",,Sunrise,,,,"26 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-22 20:20:30",,Sunset,,,,"26 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-22 04:01:09",,"Alos Hashachar",,,,"26 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-22 04:43:19",,"Earliest Tallis",,,,"26 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-22 05:42:25",,"Netz (Sunrise)",,,,"26 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-22 09:21:00",,"Latest Shema",,,,"26 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-22 10:35:06",,"Zman Tefillah",,,,"26 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-22 13:01:27",,"Chatzos (Midday)",,,,"26 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-22 13:38:02",,"Mincha Gedola",,,,"26 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-22 17:17:33",,"Mincha Ketana",,,,"26 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-22 18:49:01",,"Plag HaMincha",,,,"26 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-22 20:20:30",,"Shkiah (Sunset)",,,,"26 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-22 21:08:14",,"Tzais Hakochavim",,,,"26 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-23 06:45:00",,Shacharis,,,,"27 Tammuz 5785",,,confirmed,,64852,,,,,
"Schedule Rule","2025-07-23 09:22:23",,"Zman Krias Shma",,,,"27 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-23 20:19:00",,Shkia,,,,"27 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-23,,"27 Tammuz 5785",,,,"27 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-23 05:43:17",,Sunrise,,,,"27 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-23 20:19:41",,Sunset,,,,"27 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-23 04:02:28",,"Alos Hashachar",,,,"27 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-23 04:44:24",,"Earliest Tallis",,,,"27 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-23 05:43:17",,"Netz (Sunrise)",,,,"27 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-23 09:22:00",,"Latest Shema",,,,"27 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-23 10:35:25",,"Zman Tefillah",,,,"27 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-23 13:01:29",,"Chatzos (Midday)",,,,"27 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-23 13:38:00",,"Mincha Gedola",,,,"27 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-23 17:17:06",,"Mincha Ketana",,,,"27 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-23 18:48:23",,"Plag HaMincha",,,,"27 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-23 20:19:41",,"Shkiah (Sunset)",,,,"27 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-23 21:07:15",,"Tzais Hakochavim",,,,"27 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-24 06:35:00",,Shacharis,,,,"28 Tammuz 5785",,,confirmed,,91904,,,,,
"Schedule Rule","2025-07-24 09:22:50",,"Zman Krias Shma",,,,"28 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-24 20:18:00",,Shkia,,,,"28 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-24,,"28 Tammuz 5785",,,,"28 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-24 05:44:10",,Sunrise,,,,"28 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-24 20:18:50",,Sunset,,,,"28 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-24 04:03:47",,"Alos Hashachar",,,,"28 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-24 04:45:29",,"Earliest Tallis",,,,"28 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-24 05:44:10",,"Netz (Sunrise)",,,,"28 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-24 09:22:00",,"Latest Shema",,,,"28 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-24 10:35:43",,"Zman Tefillah",,,,"28 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-24 13:01:30",,"Chatzos (Midday)",,,,"28 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-24 13:37:56",,"Mincha Gedola",,,,"28 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-24 17:16:36",,"Mincha Ketana",,,,"28 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-24 18:47:43",,"Plag HaMincha",,,,"28 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-24 20:18:50",,"Shkiah (Sunset)",,,,"28 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-24 21:06:15",,"Tzais Hakochavim",,,,"28 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-25 06:45:00",,Shacharis,,,,"29 Tammuz 5785",,,confirmed,,64851,,,,,
"Schedule Rule","2025-07-25 09:23:17",,"Zman Krias Shma",,,,"29 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-25 18:48:00",,"Plag Mincha",,,,"29 Tammuz 5785",,,confirmed,,126932,,,,,
"Schedule Rule","2025-07-25 19:59:00",,Mincha,,,,"29 Tammuz 5785",,,confirmed,,107910,,,,,
"Schedule Rule","2025-07-25 19:59:00",,"Candle Lighting",,,,"29 Tammuz 5785",,,confirmed,,,,,,,
"Schedule Rule","2025-07-25 20:17:00",,Shkia,,,,"29 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-25,,"29 Tammuz 5785",,,,"29 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-25 05:45:04",,Sunrise,,,,"29 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-25 20:17:57",,Sunset,,,,"29 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-25 04:05:08",,"Alos Hashachar",,,,"29 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-25 04:46:35",,"Earliest Tallis",,,,"29 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-25 05:45:04",,"Netz (Sunrise)",,,,"29 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-25 09:23:00",,"Latest Shema",,,,"29 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-25 10:36:01",,"Zman Tefillah",,,,"29 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-25 13:01:30",,"Chatzos (Midday)",,,,"29 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-25 13:37:52",,"Mincha Gedola",,,,"29 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-25 17:16:05",,"Mincha Ketana",,,,"29 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-25 18:47:01",,"Plag HaMincha",,,,"29 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-25 20:17:57",,"Shkiah (Sunset)",,,,"29 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-25 21:05:13",,"Tzais Hakochavim",,,,"29 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-26 08:45:00",,Shacharis,,,,"1 Av 5785",,,confirmed,,112971,,,,,
"Schedule Rule","2025-07-26 09:23:44",,"Zman Krias Shma",,,,"1 Av 5785",,,confirmed,,100377,,,,,
"Schedule Rule","2025-07-26 19:35:00",,Mincha,,,,"1 Av 5785",,,confirmed,,112972,,,,,
"Schedule Rule","2025-07-26 20:17:00",,Shkia,,,,"1 Av 5785",,,confirmed,,77114,,,,,
"Schedule Rule","2025-07-26 21:05:00",,Maariv,,,,"1 Av 5785",,,confirmed,,112968,,,,,
"Schedule Rule","2025-07-26 21:07:00",,Havdalah,,,,"1 Av 5785",,,confirmed,,,,,,,
"Jewish Holiday",2025-07-26,,"Rosh Chodesh Av",,,,"1 Av 5785",,,,,,,,,,
Parsha,2025-07-26,,"Parshas Matos-Masei",,,,"1 Av 5785",,,,,,,,,,
"Hebrew Date",2025-07-26,,"1 Av 5785",,,,"1 Av 5785",,,,,,,,,,
Sunrise,"2025-07-26 05:45:59",,Sunrise,,,,"1 Av 5785",,,,,,,,,,
Sunset,"2025-07-26 20:17:02",,Sunset,,,,"1 Av 5785",,,,,,,,,,
Zmanim,"2025-07-26 04:06:28",,"Alos Hashachar",,,,"1 Av 5785",,,,,,,,,,
Zmanim,"2025-07-26 04:47:42",,"Earliest Tallis",,,,"1 Av 5785",,,,,,,,,,
Zmanim,"2025-07-26 05:45:59",,"Netz (Sunrise)",,,,"1 Av 5785",,,,,,,,,,
Zmanim,"2025-07-26 09:23:00",,"Latest Shema",,,,"1 Av 5785",,,,,,,,,,
Zmanim,"2025-07-26 10:36:20",,"Zman Tefillah",,,,"1 Av 5785",,,,,,,,,,
Zmanim,"2025-07-26 13:01:30",,"Chatzos (Midday)",,,,"1 Av 5785",,,,,,,,,,
Zmanim,"2025-07-26 13:37:48",,"Mincha Gedola",,,,"1 Av 5785",,,,,,,,,,
Zmanim,"2025-07-26 17:15:33",,"Mincha Ketana",,,,"1 Av 5785",,,,,,,,,,
Zmanim,"2025-07-26 18:46:17",,"Plag HaMincha",,,,"1 Av 5785",,,,,,,,,,
Zmanim,"2025-07-26 20:17:02",,"Shkiah (Sunset)",,,,"1 Av 5785",,,,,,,,,,
Zmanim,"2025-07-26 21:04:09",,"Tzais Hakochavim",,,,"1 Av 5785",,,,,,,,,,
